GEMS Station Number;Sample Date;Sample Time;Depth;Parameter Code;Analysis Method Code;Value Flags;Value;Unit;Data Quality;Status
LSO00001;2018-02-27;14:25;0.0;Alk-Tot;0;;56.1;mg/l;Fair;
LSO00001;2017-11-22;11:31;0.0;Alk-Tot;0;;53.4;mg/l;Fair;
LSO00001;2017-07-20;11:30;0.0;Alk-Tot;0;;87.2;mg/l;Fair;
LSO00001;2017-04-20;13:08;0.0;Alk-Tot;0;;87.5;mg/l;Fair;
LSO00001;2017-01-18;12:26;0.0;Alk-Tot;0;;48.7;mg/l;Fair;
LSO00001;2016-09-14;11:40;0.0;Alk-Tot;0;;67.5;mg/l;Fair;
LSO00001;2015-11-26;10:20;0.0;Alk-Tot;0;;104.925;mg/l;Fair;
LSO00001;2015-06-03;12:10;0.0;Alk-Tot;0;;95.615;mg/l;Fair;
LSO00001;2014-08-20;12:00;0.0;Alk-Tot;0;;101.458;mg/l;Fair;
LSO00001;2014-05-14;12:25;0.0;Alk-Tot;0;;114.194;mg/l;Fair;
LSO00001;2014-01-16;09:15;0.0;Alk-Tot;0;;69.639;mg/l;Fair;
LSO00001;2012-08-29;13:37;0.0;Alk-Tot;0;;74.577;mg/l;Fair;
LSO00001;2012-07-11;14:10;0.0;Alk-Tot;0;;83.998;mg/l;Fair;
LSO00001;2012-04-25;11:55;0.0;Alk-Tot;0;;90.05;mg/l;Fair;
LSO00001;2012-02-12;12:20;0.0;Alk-Tot;0;;78.111;mg/l;Fair;
LSO00001;2011-10-26;12:15;0.0;Alk-Tot;0;;105.35;mg/l;Fair;
LSO00001;2011-05-11;12:05;0.0;Alk-Tot;0;;88.573;mg/l;Fair;
LSO00001;2011-01-19;12:20;0.0;Alk-Tot;0;;68.105;mg/l;Fair;
LSO00001;2010-10-20;10:00;0.0;Alk-Tot;0;;67.909;mg/l;Fair;
LSO00001;2010-06-09;11:00;0.0;Alk-Tot;0;;41.35;mg/l;Fair;
LSO00001;2010-03-10;11:00;0.0;Alk-Tot;0;;82.891;mg/l;Fair;
LSO00001;2010-04-21;10:55;0.0;Alk-Tot;0;;70.634;mg/l;Fair;
LSO00001;2010-09-08;11:20;0.0;Alk-Tot;0;;102.475;mg/l;Fair;
LSO00001;2010-11-24;12:05;0.0;Alk-Tot;0;;54.823;mg/l;Fair;
LSO00001;2011-04-06;10:00;0.0;Alk-Tot;0;;82.841;mg/l;Fair;
LSO00001;2011-06-29;10:00;0.0;Alk-Tot;0;;105.324;mg/l;Fair;
LSO00001;2011-11-23;12:55;0.0;Alk-Tot;0;;93.893;mg/l;Fair;
LSO00001;2012-03-14;12:30;0.0;Alk-Tot;0;;93.648;mg/l;Fair;
LSO00001;2012-06-13;12:25;0.0;Alk-Tot;0;;101.809;mg/l;Fair;
LSO00001;2012-08-01;11:45;0.0;Alk-Tot;0;;95.274;mg/l;Fair;
LSO00001;2012-09-26;12:03;0.0;Alk-Tot;0;;41.401;mg/l;Fair;
LSO00001;2014-02-20;12:40;0.0;Alk-Tot;0;;72.657;mg/l;Fair;
LSO00001;2014-06-25;10:40;0.0;Alk-Tot;0;;63.5;mg/l;Fair;
LSO00001;2014-10-14;11:50;0.0;Alk-Tot;0;;101.135;mg/l;Fair;
LSO00001;2015-10-29;09:52;0.0;Alk-Tot;0;;108.111;mg/l;Fair;
LSO00001;2016-01-13;11:20;0.0;Alk-Tot;0;;97.485;mg/l;Fair;
LSO00001;2016-11-06;11:55;0.0;Alk-Tot;0;;82.3;mg/l;Fair;
LSO00001;2017-03-13;12:15;0.0;Alk-Tot;0;;68.9;mg/l;Fair;
LSO00001;2017-06-04;12:20;0.0;Alk-Tot;0;;68.3;mg/l;Fair;
LSO00001;2017-09-06;12:10;0.0;Alk-Tot;0;;100.5;mg/l;Fair;
LSO00001;2018-01-18;10:25;0.0;Alk-Tot;0;;78.6;mg/l;Fair;
LSO00001;2018-04-11;14:50;0.0;Alk-Tot;0;;73.4;mg/l;Fair;
ZAF00001;1990-02-24;07:27;0.0;Alk-Tot;Alk-T-D1067-B;;100.7;mg/l;Fair;
ZAF00001;1990-01-27;06:45;0.0;Alk-Tot;Alk-T-D1067-B;;109.5;mg/l;Fair;
ZAF00001;1993-03-20;12:52;0.0;Alk-Tot;Alk-T-D1067-B;;136.4;mg/l;Fair;
ZAF00001;1993-03-06;12:45;0.0;Alk-Tot;Alk-T-D1067-B;;146.5;mg/l;Fair;
ZAF00001;1993-02-20;12:52;0.0;Alk-Tot;Alk-T-D1067-B;;121.6;mg/l;Fair;
ZAF00001;1993-01-30;13:24;0.0;Alk-Tot;Alk-T-D1067-B;;150.8;mg/l;Fair;
ZAF00001;1993-01-16;13:29;0.0;Alk-Tot;Alk-T-D1067-B;;145.6;mg/l;Fair;
ZAF00001;1993-01-02;12:42;0.0;Alk-Tot;Alk-T-D1067-B;;140.1;mg/l;Fair;
ZAF00001;1992-12-12;12:49;0.0;Alk-Tot;Alk-T-D1067-B;;142.0;mg/l;Fair;
ZAF00001;1992-11-28;13:00;0.0;Alk-Tot;Alk-T-D1067-B;;141.2;mg/l;Fair;
ZAF00001;1992-11-14;13:00;0.0;Alk-Tot;Alk-T-D1067-B;;130.3;mg/l;Fair;
ZAF00001;1992-10-31;13:04;0.0;Alk-Tot;Alk-T-D1067-B;;125.6;mg/l;Fair;
ZAF00001;1992-10-17;13:01;0.0;Alk-Tot;Alk-T-D1067-B;;127.6;mg/l;Fair;
ZAF00001;1992-10-02;13:10;0.0;Alk-Tot;Alk-T-D1067-B;;118.4;mg/l;Fair;
ZAF00001;1992-09-19;13:06;0.0;Alk-Tot;Alk-T-D1067-B;;120.4;mg/l;Fair;
ZAF00001;1992-08-29;13:05;0.0;Alk-Tot;Alk-T-D1067-B;;112.0;mg/l;Fair;
ZAF00001;1992-08-15;13:00;0.0;Alk-Tot;Alk-T-D1067-B;;109.2;mg/l;Fair;
ZAF00001;1992-08-01;13:00;0.0;Alk-Tot;Alk-T-D1067-B;;104.0;mg/l;Fair;
ZAF00001;1992-07-18;13:12;0.0;Alk-Tot;Alk-T-D1067-B;;102.7;mg/l;Fair;
ZAF00001;1992-07-11;13:01;0.0;Alk-Tot;Alk-T-D1067-B;;103.7;mg/l;Fair;
ZAF00001;1992-06-27;12:44;0.0;Alk-Tot;Alk-T-D1067-B;;106.8;mg/l;Fair;
ZAF00001;1992-06-13;12:59;0.0;Alk-Tot;Alk-T-D1067-B;;104.5;mg/l;Fair;
ZAF00001;1992-05-16;13:13;0.0;Alk-Tot;Alk-T-D1067-B;;101.3;mg/l;Fair;
ZAF00001;1992-04-18;13:03;0.0;Alk-Tot;Alk-T-D1067-B;;104.8;mg/l;Fair;
ZAF00001;1991-12-21;13:20;0.0;Alk-Tot;Alk-T-D1067-B;;81.3;mg/l;Fair;
ZAF00001;1991-11-23;13:07;0.0;Alk-Tot;Alk-T-D1067-B;;81.8;mg/l;Fair;
ZAF00001;1991-10-26;12:52;0.0;Alk-Tot;Alk-T-D1067-B;;98.1;mg/l;Fair;
ZAF00001;1991-09-28;13:28;0.0;Alk-Tot;Alk-T-D1067-B;;102.4;mg/l;Fair;
ZAF00001;1991-08-31;13:11;0.0;Alk-Tot;Alk-T-D1067-B;;94.7;mg/l;Fair;
ZAF00001;1991-07-06;14:20;0.0;Alk-Tot;Alk-T-D1067-B;;81.6;mg/l;Fair;
ZAF00001;1991-06-22;13:36;0.0;Alk-Tot;Alk-T-D1067-B;;95.1;mg/l;Fair;
ZAF00001;1991-05-18;14:40;0.0;Alk-Tot;Alk-T-D1067-B;;94.7;mg/l;Fair;
ZAF00001;1991-04-20;14:24;0.0;Alk-Tot;Alk-T-D1067-B;;96.2;mg/l;Fair;
ZAF00001;1991-03-23;17:44;0.0;Alk-Tot;Alk-T-D1067-B;;87.3;mg/l;Fair;
ZAF00001;1991-02-23;15:04;0.0;Alk-Tot;Alk-T-D1067-B;;111.6;mg/l;Fair;
ZAF00001;1991-01-26;08:00;0.0;Alk-Tot;Alk-T-D1067-B;;79.6;mg/l;Fair;
ZAF00001;1990-12-01;15:05;0.0;Alk-Tot;Alk-T-D1067-B;;115.8;mg/l;Fair;
ZAF00001;1990-11-03;07:00;0.0;Alk-Tot;Alk-T-D1067-B;;109.8;mg/l;Fair;
ZAF00001;1990-10-06;08:49;0.0;Alk-Tot;Alk-T-D1067-B;;89.2;mg/l;Fair;
ZAF00001;1990-06-09;10:48;0.0;Alk-Tot;Alk-T-D1067-B;;120.9;mg/l;Fair;
ZAF00001;1990-05-26;07:56;0.0;Alk-Tot;Alk-T-D1067-B;;112.5;mg/l;Fair;
ZAF00001;1990-03-24;07:33;0.0;Alk-Tot;Alk-T-D1067-B;;121.8;mg/l;Fair;
ZAF00001;1990-04-22;08:29;0.0;Alk-Tot;Alk-T-D1067-B;;100.4;mg/l;Fair;
ZAF00001;1990-06-02;08:14;0.0;Alk-Tot;Alk-T-D1067-B;;107.1;mg/l;Fair;
ZAF00001;1990-06-16;08:32;0.0;Alk-Tot;Alk-T-D1067-B;;121.2;mg/l;Fair;
ZAF00001;1990-07-14;08:41;0.0;Alk-Tot;Alk-T-D1067-B;;110.8;mg/l;Fair;
ZAF00001;1990-08-11;08:20;0.0;Alk-Tot;Alk-T-D1067-B;;111.4;mg/l;Fair;
ZAF00001;1990-09-08;07:45;0.0;Alk-Tot;Alk-T-D1067-B;;94.6;mg/l;Fair;
ZAF00001;1990-12-08;15:03;0.0;Alk-Tot;Alk-T-D1067-B;;113.9;mg/l;Fair;
ZAF00001;1991-05-25;13:20;0.0;Alk-Tot;Alk-T-D1067-B;;99.6;mg/l;Fair;
ZAF00001;1991-06-29;14:05;0.0;Alk-Tot;Alk-T-D1067-B;;86.6;mg/l;Fair;
ZAF00001;1991-08-03;14:23;0.0;Alk-Tot;Alk-T-D1067-B;;89.2;mg/l;Fair;
ZAF00001;1992-01-25;12:58;0.0;Alk-Tot;Alk-T-D1067-B;;96.3;mg/l;Fair;
ZAF00001;1992-02-22;13:08;0.0;Alk-Tot;Alk-T-D1067-B;;88.6;mg/l;Fair;
ZAF00001;1992-03-28;13:22;0.0;Alk-Tot;Alk-T-D1067-B;;100.0;mg/l;Fair;
ZAF00001;1992-05-23;13:21;0.0;Alk-Tot;Alk-T-D1067-B;;98.4;mg/l;Fair;
ZAF00001;1992-06-20;12:59;0.0;Alk-Tot;Alk-T-D1067-B;;101.2;mg/l;Fair;
ZAF00001;1992-07-04;13:03;0.0;Alk-Tot;Alk-T-D1067-B;;102.7;mg/l;Fair;
ZAF00001;1992-07-16;10:30;0.0;Alk-Tot;Alk-T-D1067-B;;109.1;mg/l;Fair;
ZAF00001;1992-07-25;13:01;0.0;Alk-Tot;Alk-T-D1067-B;;102.1;mg/l;Fair;
ZAF00001;1992-08-08;13:18;0.0;Alk-Tot;Alk-T-D1067-B;;102.7;mg/l;Fair;
ZAF00001;1992-08-22;12:50;0.0;Alk-Tot;Alk-T-D1067-B;;110.3;mg/l;Fair;
ZAF00001;1992-09-05;13:04;0.0;Alk-Tot;Alk-T-D1067-B;;111.9;mg/l;Fair;
ZAF00001;1992-09-05;13:01;0.0;Alk-Tot;Alk-T-D1067-B;;113.6;mg/l;Fair;
ZAF00001;1992-09-26;12:45;0.0;Alk-Tot;Alk-T-D1067-B;;115.9;mg/l;Fair;
ZAF00001;1992-10-10;13:05;0.0;Alk-Tot;Alk-T-D1067-B;;122.5;mg/l;Fair;
ZAF00001;1992-10-24;13:21;0.0;Alk-Tot;Alk-T-D1067-B;;134.0;mg/l;Fair;
ZAF00001;1992-11-07;12:54;0.0;Alk-Tot;Alk-T-D1067-B;;136.6;mg/l;Fair;
ZAF00001;1992-11-21;13:22;0.0;Alk-Tot;Alk-T-D1067-B;;132.5;mg/l;Fair;
ZAF00001;1992-12-05;13:13;0.0;Alk-Tot;Alk-T-D1067-B;;140.5;mg/l;Fair;
ZAF00001;1992-12-19;13:00;0.0;Alk-Tot;Alk-T-D1067-B;;136.6;mg/l;Fair;
ZAF00001;1992-12-19;12:54;0.0;Alk-Tot;Alk-T-D1067-B;;140.9;mg/l;Fair;
ZAF00001;1993-01-09;13:06;0.0;Alk-Tot;Alk-T-D1067-B;;143.2;mg/l;Fair;
ZAF00001;1993-01-23;12:49;0.0;Alk-Tot;Alk-T-D1067-B;;145.8;mg/l;Fair;
ZAF00001;1993-02-06;12:49;0.0;Alk-Tot;Alk-T-D1067-B;;148.9;mg/l;Fair;
ZAF00001;1993-02-27;12:50;0.0;Alk-Tot;Alk-T-D1067-B;;146.8;mg/l;Fair;
ZAF00001;1993-03-13;13:13;0.0;Alk-Tot;Alk-T-D1067-B;;141.9;mg/l;Fair;
ZAF00001;1997-10-18;07:05;0.0;Alk-Tot;Alk-T-D1067-B;;128.3;mg/l;Fair;
ZAF00001;1997-10-11;08:00;0.0;Alk-Tot;Alk-T-D1067-B;;120.1;mg/l;Fair;
ZAF00001;1997-10-04;07:20;0.0;Alk-Tot;Alk-T-D1067-B;;114.9;mg/l;Fair;
ZAF00001;1997-09-27;07:05;0.0;Alk-Tot;Alk-T-D1067-B;;123.8;mg/l;Fair;
ZAF00001;1997-09-13;08:10;0.0;Alk-Tot;Alk-T-D1067-B;;146.0;mg/l;Fair;
ZAF00001;1997-08-30;08:55;0.0;Alk-Tot;Alk-T-D1067-B;;136.7;mg/l;Fair;
ZAF00001;1997-08-16;08:30;0.0;Alk-Tot;Alk-T-D1067-B;;131.9;mg/l;Fair;
ZAF00001;1997-05-31;08:00;0.0;Alk-Tot;Alk-T-D1067-B;;95.0;mg/l;Fair;
ZAF00001;1997-05-17;08:10;0.0;Alk-Tot;Alk-T-D1067-B;;93.9;mg/l;Fair;
ZAF00001;1997-05-03;08:15;0.0;Alk-Tot;Alk-T-D1067-B;;94.0;mg/l;Fair;
ZAF00001;1997-04-19;08:08;0.0;Alk-Tot;Alk-T-D1067-B;;91.6;mg/l;Fair;
ZAF00001;1997-03-29;08:35;0.0;Alk-Tot;Alk-T-D1067-B;;96.8;mg/l;Fair;
ZAF00001;1997-03-15;07:56;0.0;Alk-Tot;Alk-T-D1067-B;;107.5;mg/l;Fair;
ZAF00001;1997-03-01;12:32;0.0;Alk-Tot;Alk-T-D1067-B;;93.0;mg/l;Fair;
ZAF00001;1997-02-11;12:45;0.0;Alk-Tot;Alk-T-D1067-B;;95.0;mg/l;Fair;
ZAF00001;1997-01-25;07:55;0.0;Alk-Tot;Alk-T-D1067-B;;97.1;mg/l;Fair;
ZAF00001;1997-01-11;07:20;0.0;Alk-Tot;Alk-T-D1067-B;;101.8;mg/l;Fair;
ZAF00001;1996-12-21;12:08;0.0;Alk-Tot;Alk-T-D1067-B;;113.2;mg/l;Fair;
ZAF00001;1996-12-07;07:38;0.0;Alk-Tot;Alk-T-D1067-B;;111.6;mg/l;Fair;
ZAF00001;1996-11-23;07:41;0.0;Alk-Tot;Alk-T-D1067-B;;128.3;mg/l;Fair;
ZAF00001;1996-11-09;07:39;0.0;Alk-Tot;Alk-T-D1067-B;;145.0;mg/l;Fair;
ZAF00001;1996-10-26;07:37;0.0;Alk-Tot;Alk-T-D1067-B;;145.0;mg/l;Fair;
ZAF00001;1996-10-12;07:55;0.0;Alk-Tot;Alk-T-D1067-B;;159.3;mg/l;Fair;
ZAF00001;1996-09-28;08:28;0.0;Alk-Tot;Alk-T-D1067-B;;158.8;mg/l;Fair;
ZAF00001;1996-09-14;08:18;0.0;Alk-Tot;Alk-T-D1067-B;;135.9;mg/l;Fair;
ZAF00001;1996-08-31;08:22;0.0;Alk-Tot;Alk-T-D1067-B;;125.1;mg/l;Fair;
ZAF00001;1996-08-17;08:41;0.0;Alk-Tot;Alk-T-D1067-B;;130.1;mg/l;Fair;
ZAF00001;1996-08-03;09:02;0.0;Alk-Tot;Alk-T-D1067-B;;135.4;mg/l;Fair;
ZAF00001;1996-07-20;09:21;0.0;Alk-Tot;Alk-T-D1067-B;;129.4;mg/l;Fair;
ZAF00001;1996-07-06;09:28;0.0;Alk-Tot;Alk-T-D1067-B;;126.4;mg/l;Fair;
ZAF00001;1996-06-22;08:58;0.0;Alk-Tot;Alk-T-D1067-B;;127.0;mg/l;Fair;
ZAF00001;1996-06-08;09:32;0.0;Alk-Tot;Alk-T-D1067-B;;124.5;mg/l;Fair;
ZAF00001;1996-05-25;09:09;0.0;Alk-Tot;Alk-T-D1067-B;;109.7;mg/l;Fair;
ZAF00001;1996-05-04;08:39;0.0;Alk-Tot;Alk-T-D1067-B;;98.6;mg/l;Fair;
ZAF00001;1996-04-20;08:46;0.0;Alk-Tot;Alk-T-D1067-B;;111.3;mg/l;Fair;
ZAF00001;1996-04-06;08:32;0.0;Alk-Tot;Alk-T-D1067-B;;91.4;mg/l;Fair;
ZAF00001;1996-03-23;09:16;0.0;Alk-Tot;Alk-T-D1067-B;;81.5;mg/l;Fair;
ZAF00001;1996-03-02;12:10;0.0;Alk-Tot;Alk-T-D1067-B;;87.2;mg/l;Fair;
ZAF00001;1996-02-17;08:45;0.0;Alk-Tot;Alk-T-D1067-B;;99.8;mg/l;Fair;
ZAF00001;1996-02-10;07:45;0.0;Alk-Tot;Alk-T-D1067-B;;99.7;mg/l;Fair;
ZAF00001;1996-01-20;08:20;0.0;Alk-Tot;Alk-T-D1067-B;;144.7;mg/l;Fair;
ZAF00001;1996-01-06;09:29;0.0;Alk-Tot;Alk-T-D1067-B;;135.3;mg/l;Fair;
ZAF00001;1995-12-30;07:01;0.0;Alk-Tot;Alk-T-D1067-B;;142.7;mg/l;Fair;
ZAF00001;1995-12-11;11:55;0.0;Alk-Tot;Alk-T-D1067-B;;156.7;mg/l;Fair;
ZAF00001;1995-12-02;07:05;0.0;Alk-Tot;Alk-T-D1067-B;;181.0;mg/l;Fair;
ZAF00001;1995-11-18;08:03;0.0;Alk-Tot;Alk-T-D1067-B;;180.4;mg/l;Fair;
ZAF00001;1995-11-04;07:00;0.0;Alk-Tot;Alk-T-D1067-B;;170.9;mg/l;Fair;
ZAF00001;1995-10-21;08:04;0.0;Alk-Tot;Alk-T-D1067-B;;177.1;mg/l;Fair;
ZAF00001;1995-10-07;08:30;0.0;Alk-Tot;Alk-T-D1067-B;;166.6;mg/l;Fair;
ZAF00001;1995-09-23;09:18;0.0;Alk-Tot;Alk-T-D1067-B;;151.0;mg/l;Fair;
ZAF00001;1995-09-09;12:55;0.0;Alk-Tot;Alk-T-D1067-B;;150.0;mg/l;Fair;
ZAF00001;1995-08-26;09:39;0.0;Alk-Tot;Alk-T-D1067-B;;149.6;mg/l;Fair;
ZAF00001;1995-08-12;09:25;0.0;Alk-Tot;Alk-T-D1067-B;;150.4;mg/l;Fair;
ZAF00001;1995-07-29;09:53;0.0;Alk-Tot;Alk-T-D1067-B;;151.8;mg/l;Fair;
ZAF00001;1995-07-08;12:45;0.0;Alk-Tot;Alk-T-D1067-B;;144.9;mg/l;Fair;
ZAF00001;1995-06-24;08:04;0.0;Alk-Tot;Alk-T-D1067-B;;148.2;mg/l;Fair;
ZAF00001;1995-06-10;09:29;0.0;Alk-Tot;Alk-T-D1067-B;;144.1;mg/l;Fair;
ZAF00001;1995-05-27;11:29;0.0;Alk-Tot;Alk-T-D1067-B;;147.7;mg/l;Fair;
ZAF00001;1995-05-13;12:56;0.0;Alk-Tot;Alk-T-D1067-B;;128.8;mg/l;Fair;
ZAF00001;1995-04-29;10:41;0.0;Alk-Tot;Alk-T-D1067-B;;125.4;mg/l;Fair;
ZAF00001;1995-04-15;11:12;0.0;Alk-Tot;Alk-T-D1067-B;;125.1;mg/l;Fair;
ZAF00001;1995-04-01;13:17;0.0;Alk-Tot;Alk-T-D1067-B;;133.1;mg/l;Fair;
ZAF00001;1995-03-18;13:14;0.0;Alk-Tot;Alk-T-D1067-B;;144.2;mg/l;Fair;
ZAF00001;1995-03-04;09:55;0.0;Alk-Tot;Alk-T-D1067-B;;129.2;mg/l;Fair;
ZAF00001;1995-02-18;12:30;0.0;Alk-Tot;Alk-T-D1067-B;;137.4;mg/l;Fair;
ZAF00001;1995-02-04;09:59;0.0;Alk-Tot;Alk-T-D1067-B;;143.9;mg/l;Fair;
ZAF00001;1995-01-21;07:53;0.0;Alk-Tot;Alk-T-D1067-B;;132.9;mg/l;Fair;
ZAF00001;1995-01-07;12:18;0.0;Alk-Tot;Alk-T-D1067-B;;130.1;mg/l;Fair;
ZAF00001;1994-12-24;11:15;0.0;Alk-Tot;Alk-T-D1067-B;;140.5;mg/l;Fair;
ZAF00001;1994-12-10;12:33;0.0;Alk-Tot;Alk-T-D1067-B;;144.9;mg/l;Fair;
ZAF00001;1994-11-26;12:58;0.0;Alk-Tot;Alk-T-D1067-B;;140.0;mg/l;Fair;
ZAF00001;1994-11-12;12:01;0.0;Alk-Tot;Alk-T-D1067-B;;136.0;mg/l;Fair;
ZAF00001;1994-10-29;12:15;0.0;Alk-Tot;Alk-T-D1067-B;;131.6;mg/l;Fair;
ZAF00001;1994-10-15;10:31;0.0;Alk-Tot;Alk-T-D1067-B;;137.1;mg/l;Fair;
ZAF00001;1994-09-03;12:21;0.0;Alk-Tot;Alk-T-D1067-B;;116.5;mg/l;Fair;
ZAF00001;1994-08-20;12:08;0.0;Alk-Tot;Alk-T-D1067-B;;114.6;mg/l;Fair;
ZAF00001;1994-08-06;14:27;0.0;Alk-Tot;Alk-T-D1067-B;;96.3;mg/l;Fair;
ZAF00001;1994-07-23;14:25;0.0;Alk-Tot;Alk-T-D1067-B;;88.2;mg/l;Fair;
ZAF00001;1994-07-02;12:13;0.0;Alk-Tot;Alk-T-D1067-B;;93.0;mg/l;Fair;
ZAF00001;1994-06-18;12:45;0.0;Alk-Tot;Alk-T-D1067-B;;90.8;mg/l;Fair;
ZAF00001;1994-06-04;12:58;0.0;Alk-Tot;Alk-T-D1067-B;;120.0;mg/l;Fair;
ZAF00001;1994-05-21;12:43;0.0;Alk-Tot;Alk-T-D1067-B;;132.2;mg/l;Fair;
ZAF00001;1994-05-07;12:50;0.0;Alk-Tot;Alk-T-D1067-B;;132.4;mg/l;Fair;
ZAF00001;1994-04-23;13:38;0.0;Alk-Tot;Alk-T-D1067-B;;138.3;mg/l;Fair;
ZAF00001;1994-04-09;12:56;0.0;Alk-Tot;Alk-T-D1067-B;;135.6;mg/l;Fair;
ZAF00001;1994-03-26;17:23;0.0;Alk-Tot;Alk-T-D1067-B;;135.7;mg/l;Fair;
ZAF00001;1994-03-12;12:48;0.0;Alk-Tot;Alk-T-D1067-B;;131.6;mg/l;Fair;
ZAF00001;1994-02-26;10:15;0.0;Alk-Tot;Alk-T-D1067-B;;126.1;mg/l;Fair;
